RK,DATE,NAME,TEAM,GP,REC,ATT,YARDS,YAC,AVG,LG,TD,30
1,2019,BEGELTON Reginald,CGY,17,102,144,1444,519,14.2,76,10,6
2,2019,ROGERS Eric,CGY,17,85,126,1080,267,12.7,55,10,3
3,2019,MAYALA Hergy,CGY,11,38,47,562,125,14.8,68,5,3
4,2019,HUFF Josh,CGY,10,37,56,491,242,13.3,43,1,4
5,2019,AMBLES Markeith,CGY,9,35,56,407,138,11.6,28,0,0
6,2019,SINDANI Richard,CGY,14,32,41,362,123,11.3,51,0,1
7,2019,HUNCHAK Colton,CGY,9,16,24,231,67,14.4,57,0,1
8,2019,KLUKAS Michael,CGY,11,16,29,169,46,10.6,31,0,1
9,2019,BRESCACIN Juwan,CGY,4,11,14,168,46,15.3,50,3,2
10,2019,CAREY Ka'Deem,CGY,8,15,21,134,119,8.9,23,1,0
11,2019,JACKSON Don,CGY,6,21,27,132,113,6.3,23,0,0
12,2019,WILLIAMS Terry,CGY,9,10,17,117,106,11.7,29,0,0
13,2019,PECK Aaron,CGY,2,9,14,105,28,11.7,40,0,1
14,2019,LITRE Ante,CGY,7,9,11,81,76,9.0,25,0,0
15,2019,MORRIS Romar,CGY,2,7,8,58,52,8.3,20,0,0
16,2019,LANGLAIS William,CGY,5,4,6,54,48,13.5,33,0,1
17,2019,POWER Charlie,CGY,5,4,7,27,26,6.8,11,0,0
