RK,DATE,NAME,TEAM,GP,REC,ATT,YARDS,YAC,AVG,LG,TD,30
1,2019,BANKS Brandon,HAM,16,112,158,1550,657,13.8,60,13,10
2,2019,ADDISON Bralon,HAM,16,95,126,1236,558,13.0,76,7,8
3,2019,ACKLIN Jaelon,HAM,17,58,74,708,192,12.2,29,3,0
4,2019,TUCKER Marcus,HAM,12,38,56,475,197,12.5,52,2,4
5,2019,TASKER Luke,HAM,9,36,52,406,132,11.3,36,0,1
6,2019,JONES Mike,HAM,15,22,35,319,70,14.5,59,0,2
7,2019,THOMAS ERLINGTON Sean,HAM,4,11,14,193,89,17.5,75,1,2
8,2019,COOMBS Anthony,HAM,10,20,29,156,89,7.8,26,2,0
9,2019,MARSHALL Jalin,HAM,3,8,9,139,102,17.4,50,0,1
10,2019,SUTTON Tyrell,HAM,4,11,11,126,76,11.5,40,1,1
11,2019,KALINIC Nikola,HAM,11,12,16,106,60,8.8,31,1,1
12,2019,BENNETT Jackson,HAM,5,8,10,72,58,9.0,14,0,0
13,2019,IRONS Maleek,HAM,6,10,17,59,50,5.9,13,0,0
14,2019,UNGERER David,HAM,2,2,5,44,7,22.0,36,0,1
15,2019,MARSHALL Cameron,HAM,3,5,7,37,31,7.4,20,0,0
16,2019,EVANS Dane,HAM,2,1,2,13,0,13.0,13,0,0
